fab,point,time,leak_detection_time_sec,video_path
FAB00,point06,2026-06-02 17:35:00,2,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-02 17:58:00,3,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-02 18:21:00,4,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-02 18:44:00,1,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-02 19:07:00,2,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-02 19:30:00,3,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-02 19:53:00,4,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-02 20:16:00,1,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-02 20:39:00,2,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-02 21:02:00,3,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-02 21:25:00,4,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-02 21:48:00,1,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-02 22:11:00,2,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-02 22:34:00,3,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-02 22:57:00,4,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-02 23:20:00,1,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-02 23:43:00,2,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-03 00:06:00,3,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-03 00:29:00,4,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-03 00:52:00,1,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-03 01:15:00,2,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-03 01:38:00,3,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-03 02:01:00,4,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-03 02:24:00,1,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-03 02:47:00,2,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-03 03:10:00,3,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-03 03:33:00,4,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-03 03:56:00,1,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-03 04:19:00,2,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-03 04:42:00,3,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-03 05:05:00,4,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-03 05:28:00,1,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-03 05:51:00,2,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-03 06:14:00,3,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-03 06:37:00,4,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-03 07:00:00,1,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-03 07:23:00,2,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-03 07:46:00,3,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-03 08:09:00,4,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-03 08:32:00,1,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-03 08:55:00,2,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-03 09:18:00,3,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-03 09:41:00,4,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-03 10:04:00,1,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-03 10:27:00,2,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-03 10:50:00,3,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-03 11:13:00,4,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-03 11:36:00,1,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-03 11:59:00,2,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-03 12:22:00,3,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-03 12:45:00,4,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-03 13:08:00,1,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-03 13:31:00,2,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-03 13:54:00,3,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-03 14:17:00,4,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-03 14:40:00,1,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-03 15:03:00,2,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-03 15:26:00,3,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-03 15:49:00,4,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-03 16:12:00,1,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-03 16:35:00,2,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-03 16:58:00,3,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-03 17:21:00,4,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-03 17:44:00,1,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-03 18:07:00,2,./test_vido_wl/wl_video.mp4
FAB00,point01,2026-06-03 18:30:00,3,./test_vido_wl/wl_video.mp4
FAB01,point02,2026-06-03 18:53:00,4,./test_vido_wl/wl_video.mp4
FAB02,point03,2026-06-03 19:16:00,1,./test_vido_wl/wl_video.mp4
FAB03,point04,2026-06-03 19:39:00,2,./test_vido_wl/wl_video.mp4
FAB04,point05,2026-06-03 20:02:00,3,./test_vido_wl/wl_video.mp4
FAB00,point06,2026-06-03 20:25:00,4,./test_vido_wl/wl_video.mp4
FAB01,point07,2026-06-03 20:48:00,1,./test_vido_wl/wl_video.mp4
FAB02,point08,2026-06-03 21:11:00,2,./test_vido_wl/wl_video.mp4
FAB03,point09,2026-06-03 21:34:00,3,./test_vido_wl/wl_video.mp4
FAB04,point10,2026-06-03 21:57:00,4,./test_vido_wl/wl_video.mp4
